== Vocab ==

to vote on st				volit o necem
to vote for sb				volit nekoho
mediocre				prumerny
gent					pisoar
toilet bowl				toaletni misa
to wee wee				to pee
wishfull thinking			vyrcene prani
PE - physical education			telocvik
principal - headmaster			reditel
to play sb up				vyzdvihovat
to twist one's arm			presvedcit nekoho
to cross one's fingers			drzet nekomu palce
dorm(itory) = hostel			kolej
to order sb about			"buzerovat" nekoho
to haste sb = hurry sb			honit nekoho
to slander sb				urazet nekoho
to point out				podotknout
swot = swat				sprt
feasible				proveditelne
elder brother				starsi bratr
to judge st by st			soudit neco podle neceho
to react to st				reagovat na neco
at faculty				na fakulte
to laugh at sb = smile at sb		vysmivat se nekomu, usmivat se na nekoho
to wade through st			brouzdat se, proletnout (knihu)
to snap fingers				lousknout
erratic					bloudivy
long-winded				zdlouhavy
Where was I?				Kde jsem to skoncil?
at the end of the book			na konci knihy
in the end it will pay			nakonnec se to vyplati
infidelity				nevernost
unfaithful				neverny
flask					cutora
plum brandy				slivovice
notch					zarez na pazbe
to juggle				zonglovat
skittle					kuzelka
You can't teach an old dog new tricks.	
to perform a trick			predvest trik ;)
to burb					krkat
plush					plys
fluffy					nacechrany
to cuddle up with st/sb			mazlit se s necim/nekym
rook					vez (sachy)
bishop					strelec (sachy)
pawn					pesak (sachy)
chess pieces				sachove figurky
chessboard				sachova deska
to checkmate				sachmat
to stroke				hladit
to spank				naplacat
pram					kocarek
to hurl					ritit se
fonny					lisat se
watch/guardian dog			hlidaci pes
pawn shop				zastavarna
pawn broker				majitel zastavarny
to deflower				zbavit panenstvi
RC = remote controlled			dalkove ovladany
balsa [bo:lsa]				balsa
runway					ranvej
the best way of explaining it		nejlepsi zpusob jak to vysvetlit
I've no experience in/of it		Nemam s tim zadne zkusenosti.
to shuffle				zamichat
curriculum (pl. curricula)		osnovy
conscript				odvedenec
to fulfill oneself in st		seberealizovat
to enlist = voluntary join		nechat se odvest (do armady)
get round someone = get along with sb	vychazet s nekym
reputable				seriozni
hold your hourses = just a second	vterinku; vydrzte
praiseworthy				chvalitebny
to donate				financne prispet
the same goes/applies for		to same plati pro
I'm done with you.			Koncim s tebou.
the way of doing st			zpusob jak neco delat
the most widely used			nejpouzivanejsi
time-consuming				casove narocne
the compilation of			kompilace neceho
the beauty of it all			krasa toho je
to join forces				prihlasit se do (armady)
when it comes to st			kdyz prijde na neco (vec)
the same is true of st			to same plati pro
phoney					pretvarujici se
village idiot stance			postoj s rukami v kapsach (pri prezentaci)
folded arms				zalozene ruce
akimbo					ruce v bok
rehearse				nacvicovat
to deviate				menit smer
hindrance = obstacle			prekazka
to hinder = to block st			branit
illegible				necitelne
to grass on sb				praskat na nekoho
breadwinner				zivitel rodiny
ingrate = ungrateful person		nevdecnik
to feel remorse fot st			vycitky svedomi
to challenge someone to duel		vyzvat nekoho na duel
to threaten to do st			hrozit neco udelat
to remark st				poznamenat si neco
breakthrough				prulom
office for studies			studijni oddeleni
prick up your ears			nastrazte usi
flowering English			kvetnata anglictina
contraceptives				antikoncepce
pay for st				platit za neco
immerse					ponorit se (do studia)
muffle					ztlumit
to object to sb				mit namitky
henpacked				pod pantoflem
to be under the thumb			byt pod pantoflem
Who wears the trousers in your family?	Kdo je hlava rodiny?
catch on				uchytit se
boor					buran
bumpkin					balik
redneck/hillbill			american southern villager
disgrace				ostuda, hanba
pull onself together			vzmuzit se


== Subjunctives ==

She suggested not going there
1. She suggested that we not go there
2. She suggested that we should not go there

advise, recommend, insist, propose, demand, request

He recommended that we do it.
----------||---------- shouldn't do it.

He advise that we do it.
--------||------- should do it.

It's vital that he go there.
It's imperative that...
It's crucial that...
